module_name,source,integration,description
Accounting,PACS WA,pending,
Accounting Event Mapping,PACS WA,pending,
Annexation Management,PACS WA,pending,
Appraisal Cards,PACS WA,pending,
Arc Reader10 and Published Map File,PACS WA,pending,
Auditor Document Processing,PACS WA,pending,
Auto Pay Processing,PACS WA,pending,
Balancing,PACS WA,pending,
Bill Adjustments,PACS WA,pending,
Building Permits,PACS WA,pending,
Business Personal Property,PACS WA,pending,
Certification Procedures,PACS WA,pending,
Code District Reports,PACS WA,pending,
Collections Daily Functions,PACS WA,pending,
Comparable Sales,PACS WA,pending,
Connections,PACS WA,pending,
Current Use Properties,PACS WA,pending,
Customer Service Alerts,PACS WA,pending,
Data Entry,PACS WA,pending,
Debt Management,PACS WA,pending,
Delinquent Notices,PACS WA,pending,
Destroyed Property,PACS WA,pending,
Distribute Value,PACS WA,pending,
DOR Reports,PACS WA,pending,
Escrow,PACS WA,pending,
Event Management,PACS WA,pending,
Exemptions,PACS WA,pending,
Exports,PACS WA,pending,
Fields,PACS WA,pending,
GIS,PACS WA,pending,
Holidays,PACS WA,pending,
Image and Document Management,PACS WA,pending,
Imports,PACS WA,pending,
Improvement Schedules,PACS WA,pending,
Improvements,PACS WA,pending,
Inbox Features,PACS WA,pending,
Income,PACS WA,pending,
Inquiry & Protest Configuration,PACS WA,pending,
Inquiry Processing,PACS WA,pending,
International Addresses,PACS WA,pending,
Land,PACS WA,pending,
Land Schedules,PACS WA,pending,
Legal Descriptions,PACS WA,pending,
Letter Processing,PACS WA,pending,
Levy Certification - Assessor Functions,PACS WA,pending,
Levy Certification - Treasurer Function,PACS WA,pending,
Litigation,PACS WA,pending,
Marshall & Swift Commercial,PACS WA,pending,
Marshall & Swift Residential,PACS WA,pending,
Mass Creation of Properties,PACS WA,pending,
Mass Maintenance,PACS WA,pending,
Mobile Homes,PACS WA,pending,
Mortgage Payment Processing,PACS WA,pending,
Notice Processing,PACS WA,pending,
Ownership,PACS WA,pending,
PACS 9.0 Installation,PACS WA,pending,
PACS Database Guide,PACS WA,pending,
PACS Query,PACS WA,pending,
Panel Information,PACS WA,pending,
Payment Processing,PACS WA,pending,
Payout Agreements,PACS WA,pending,
Profiling,PACS WA,pending,
Property Group Codes,PACS WA,pending,
Property Record Options,PACS WA,pending,
Protest Processing,PACS WA,pending,
Recalculation,PACS WA,pending,
Recording Sales Confirmation,PACS WA,pending,
REET,PACS WA,pending,
Multiple Tax areas,PACS WA,pending,
Various Affidavit Processing Fee,PACS WA,pending,
Refunds,PACS WA,pending,
Rendition Processing,PACS WA,pending,
Rendition Penalty Processing,PACS WA,pending,
Report Designer,PACS WA,pending,
Reports,PACS WA,pending,
Rollback & Current Use Removal,PACS WA,pending,
Rollback & Current Use Removal Report,PACS WA,pending,
Scanning Documents & Images,PACS WA,pending,
Sketch Pad,PACS WA,pending,
Special Assessments,PACS WA,pending,
Splits & Merges,PACS WA,pending,
Supplement Processing,PACS WA,pending,
Tax Statements,PACS WA,pending,
Text,PACS WA,pending,
User & Roles,PACS WA,pending,
Valuation Methods,PACS WA,pending,
Year Layer,PACS WA,pending,
